DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
10/12/2018,40.749599,141.850006,102.16716,51.977501,82.051498,0.1,-0.11,-1.62,0.011,0,1.610123339,2.151829359,2.009311321,1.715815395,1.914086514,0.285177731,1.377942062,1.132782993,0.124257427,0.316078479,0.274177731,1.366942062,1.121782993,0.113257427,0.305078479
11/12/2018,40.516533,142.080002,103.116753,52.587502,82.162003,-0.08,-0.05,-0.4,0.011,0,1.607632276,2.152532955,2.013329229,1.720882542,1.914671018,-0.249106369,0.070359605,0.401790803,0.50671461,0.058450394,-0.260106369,0.059359605,0.390790803,0.49571461,0.047450394
12/12/2018,40.629467,144.5,103.582062,53.183998,83.177002,0.68,0.57,-0.19,0.011,0,1.608841125,2.159867847,2.015284552,1.725780981,1.920003263,0.120884935,0.733489254,0.195532299,0.489843989,0.533224453,0.109884935,0.722489254,0.184532299,0.478843989,0.522224453
13/12/2018,41.073959,145.009995,103.933403,53.095001,82.918999,-0.26,-1.51,-0.19,0.011,0,1.613566565,2.161397938,2.016755147,1.725053633,1.918654051,0.472544021,0.153009048,0.147059501,-0.072734812,-0.134921213,0.461544021,0.142009048,0.136059501,-0.083734812,-0.145921213
14/12/2018,39.759682,144.059998,100.685799,52.105,79.595497,-1.89,-0.07,0.5,0.011,0,1.599442902,2.158543404,2.002968221,1.7168794,1.900888499,-1.412366303,-0.285453316,-1.378692645,-0.817423308,-1.776555179,-1.423366303,-0.296453316,-1.389692645,-0.828423308,-1.787555179
17/12/2018,39.389675,140.190002,97.704048,50.8265,76.045502,-2.13,-0.26,1.09,0.011,0,1.595382398,2.146717042,1.989912557,1.706090204,1.881073531,-0.406050472,-1.182636247,-1.305566334,-1.078919576,-1.98149677,-0.417050472,-1.193636247,-1.316566334,-1.089919576,-1.99249677
18/12/2018,39.90144,143.660004,98.72963,51.435501,77.573997,-0.03,0.03,-0.6,0.011,0,1.600988569,2.157335874,1.994447509,1.711262974,1.889716169,0.560617168,1.061883225,0.4534952,0.51727699,0.864263789,0.549617168,1.050883225,0.4424952,0.50627699,0.853263789
19/12/2018,38.65686,133.240005,98.463722,51.150501,74.753998,-1.58,-0.62,0.04,0.011,0,1.587226574,2.12463464,1.993276248,1.708849892,1.873634425,-1.376199472,-3.270123387,-0.117126106,-0.241308255,-1.608174445,-1.387199472,-3.281123387,-0.128126106,-0.252308255,-1.619174445
20/12/2018,37.68137,133.399994,96.393623,50.470501,73.041496,-1.62,-0.29,0.98,0.011,0,1.576126684,2.12515581,1.984048304,1.703037616,1.86356966,-1.109989021,0.052116973,-0.922794465,-0.5812276,-1.006476497,-1.120989021,0.041116973,-0.933794465,-0.5922276,-1.017476497
21/12/2018,36.215721,124.949997,93.278923,48.977001,68.872498,-2.17,-0.55,0.77,0.011,0,1.558897136,2.09673625,1.969783523,1.689992189,1.838045835,-1.72295485,-2.841956001,-1.426478067,-1.304542729,-2.552382453,-1.73395485,-2.852956001,-1.437478067,-1.315542729,-2.563382453
24/12/2018,35.278667,124.059998,89.385582,48.811001,67.197998,-2.55,1,-0.48,0.011,0,1.547512167,2.09363177,1.951267472,1.688517714,1.827356335,-1.138496876,-0.310448021,-1.851605084,-0.147447441,-1.068950059,-1.149496876,-0.321448021,-1.862605084,-0.158447441,-1.079950059
26/12/2018,37.76305,134.179993,95.491486,51.973,73.544998,5.06,-0.06,-1.02,0.011,0,1.577067064,2.127687765,1.979964652,1.715777786,1.86655314,2.95548966,3.405599506,2.869717948,2.72600719,3.919680599,2.94448966,3.394599506,2.858717948,2.71500719,3.908680599
27/12/2018,37.517979,134.520004,96.080238,52.194,73.082001,0.78,-0.66,-0.12,0.011,0,1.574239436,2.128786872,1.98263407,1.717620581,1.86381043,-0.282762763,0.109910667,0.266941848,0.184279521,-0.274271058,-0.293762763,0.098910667,0.255941848,0.173279521,-0.285271058
28/12/2018,37.537197,133.199997,95.33007,51.854,73.901001,-0.03,0.77,0.26,0.011,0,1.57446184,2.124504215,1.979229912,1.714782263,1.868650321,0.022240362,-0.42826565,-0.340415826,-0.283831788,0.48398911,0.011240362,-0.43926565,-0.351415826,-0.294831788,0.47298911
31/12/2018,37.900009,131.089996,96.450584,51.780499,75.098503,0.9,-0.1,-0.46,0.011,0,1.578639313,2.11756955,1.984304862,1.714166231,1.87563128,0.41774735,-0.693466484,0.507494968,-0.0616032,0.698095892,0.40674735,-0.704466484,0.496494968,-0.0726032,0.687095892
